Year,WinTeam,WinPts,LoseTeam,LosePts
1902,Michigan,49,Stanford,0
1916,Washington State,14,Brown,0
1917,Oregon,14,Pennsylvania,0
1918,Mare Island - USMC,19,Camp Lewis - US Army,7
1919,Great Lakes - US Navy,17,Mare Island - USMC,0
1920,Harvard,7,Oregon,6
1921,California,28,Ohio State,0
1923,Southern California,14,Penn State,3
1924,Washington,14,Navy,14
1925,Notre Dame,27,Stanford,10
1926,Alabama,20,Washington,19
1927,Alabama,7,Stanford,7
1929,Georgia Tech,8,California,7
1930,Southern California,47,Pittsburgh,14
1931,Alabama,24,Washington State,0
1932,Southern California,21,Tulane,12
1934,Columbia,7,Stanford,0
1935,Alabama,29,Stanford,13
1936,Stanford,7,SMU,0
1937,Pittsburgh,21,Washington,0
1938,California,13,Alabama,0
1940,Southern California,14,Tennessee,0
1941,Stanford,21,Nebraska,13
1942,Oregon State,20,Duke,16
1943,Georgia,9,UCLA,0
1944,Southern California,29,Washington,0
1945,Southern California,25,Tennessee,0
1946,Alabama,34,Southern California,14
1947,Illinois,45,UCLA,14
1948,Michigan,49,Southern California,0
1949,Northwestern,20,California,14
1951,Michigan,14,California,6
1952,Illinois,40,Stanford,7
1953,Southern California,7,Wisconsin,0
1954,Michigan State,28,UCLA,20
1955,Ohio State,20,Southern California,7
1957,Iowa,35,Oregon State,19
1958,Ohio State,10,Oregon,7
1959,Iowa,38,California,12
1960,Washington,44,Wisconsin,8
1962,Minnesota,21,UCLA,3
1963,Southern California,42,Wisconsin,37
1964,Illinois,17,Washington,7
1965,Michigan,34,Oregon State,7
1966,UCLA,14,Michigan State,12
1968,Southern California,14,Indiana,3
1969,Ohio State,27,Southern California,16
1970,Southern California,10,Michigan,3
1971,Stanford,27,Ohio State,17
1972,Stanford,13,Michigan,12
1973,Southern California,42,Ohio State,17
1974,Ohio State,42,Southern California,21
1975,Southern California,18,Ohio State,17
1976,UCLA,23,Ohio State,10
1977,Southern California,14,Michigan,6
1979,Southern California,17,Michigan,10
1980,Southern California,17,Ohio State,16
1981,Michigan,23,Washington,6
1982,Washington,28,Iowa,0
1983,UCLA,24,Michigan,14
1985,Southern California,20,Ohio State,17
1986,UCLA,45,Iowa,28
1987,Arizona State,22,Michigan,15
1988,Michigan State,20,Southern California,17
1990,Southern California,17,Michigan,10
1991,Washington,46,Iowa,34
1992,Washington,34,Michigan,14
1993,Michigan,38,Washington,31
1994,Wisconsin,21,UCLA,16
1996,Southern California,41,Northwestern,32
1997,Ohio State,20,Arizona State,17
1998,Michigan,21,Washington State,16
1999,Wisconsin,38,UCLA,31
2000,Wisconsin,17,Stanford,9
2001,Washington,34,Purdue,24
2003,Oklahoma,34,Washington State,14
2004,Southern California,28,Michigan,14
2005,Texas,38,Michigan,37
2007,Southern California,32,Michigan,18
2008,Southern California,49,Illinois,17
2009,Southern California,38,Penn State,24
2010,Ohio State,26,Oregon,17
2011,TCU,21,Wisconsin,19
2013,Stanford,20,Wisconsin,14
2014,Michigan State,24,Stanford,20
1922,California,0,Washington & Jefferson,0
1928,Stanford,7,Pittsburgh,6
1933,Southern California,35,Pittsburgh,0
1939,Southern California,7,Duke,3
1950,Ohio State,17,California,14
1956,Michigan State,17,UCLA,14
1961,Washington,17,Minnesota,7
1967,Purdue,14,Southern California,13
1978,Washington,27,Michigan,20
1984,UCLA,45,Illinois,9
1989,Michigan,22,Southern California,14
1995,Penn State,38,Oregon,20
2012,Oregon,45,Wisconsin,38
2002,Miami (FL),37,Nebraska,14
2006,Texas,41,Southern California,38
2015,Oregon,59,Florida State,20
2016,Stanford,45,Iowa,16
2017,USC,52,Penn State,49
2018,Georgia,54,Oklahoma,48
2019,Ohio State,28,Washington,23
2020,Oregon,28,Wisconsin,27
2021,Alabama,31,Notre Dame,14
2022,Ohio State,48,Utah,45
